"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,3.707885742E-3,-1.184082031E-2,-6.866455078E-4,1.242678254E-2
5.004883000E-3,-1.617431641E-3,-1.077270508E-2,-1.754760742E-3,1.103387716E-2
1.000976500E-2,-1.617431641E-3,-4.379272461E-3,3.814697266E-4,4.683976041E-3
1.498413100E-2,-5.493164062E-4,3.082275391E-3,1.449584961E-3,3.450140092E-3
1.998901300E-2,-5.493164062E-4,3.082275391E-3,1.449584961E-3,3.450140092E-3
2.499389600E-2,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
2.999877900E-2,1.586914062E-3,-1.220703125E-4,3.814697266E-4,1.636678513E-3
3.500366200E-2,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
4.000854500E-2,-5.493164062E-4,2.014160156E-3,3.814697266E-4,2.122288576E-3
4.498291000E-2,-1.617431641E-3,-1.220703125E-4,1.449584961E-3,2.175381077E-3
4.998779300E-2,1.586914062E-3,-1.220703125E-4,-6.866455078E-4,1.733401124E-3
5.499267600E-2,5.187988281E-4,9.460449219E-4,-6.866455078E-4,1.278919572E-3
5.999755800E-2,-5.493164062E-4,3.082275391E-3,-6.866455078E-4,3.205253836E-3
6.500244100E-2,1.586914062E-3,2.014160156E-3,-6.866455078E-4,2.654546935E-3
7.000732400E-2,2.655029297E-3,-1.220703125E-4,-1.754760742E-3,3.184849603E-3
7.501220700E-2,1.586914062E-3,9.460449219E-4,1.449584961E-3,2.348317226E-3
8.001709000E-2,-5.493164062E-4,2.014160156E-3,3.814697266E-4,2.122288576E-3
8.502197200E-2,1.586914062E-3,3.082275391E-3,3.814697266E-4,3.487726620E-3
9.002685500E-2,3.707885742E-3,-1.220703125E-4,3.814697266E-4,3.729455321E-3
9.500122100E-2,1.586914062E-3,-1.190185547E-3,3.814697266E-4,2.019989364E-3
1.000061030E-1,-5.493164062E-4,-1.220703125E-4,-1.754760742E-3,1.842779134E-3
1.050109860E-1,-1.617431641E-3,-1.220703125E-4,-6.866455078E-4,1.761382504E-3
1.100158690E-1,5.187988281E-4,-1.190185547E-3,3.814697266E-4,1.353223194E-3
1.150207520E-1,-5.493164062E-4,-1.190185547E-3,3.814697266E-4,1.365214013E-3
1.200256350E-1,-5.493164062E-4,9.460449219E-4,1.449584961E-3,1.816052331E-3
